revenue,vote_average,genre
105232691,6.7,Comedy
12803305,6.6,Drama
173046663,7,Crime
75505856,7.1,Action
119718203,5.5,Comedy
141047179,5.9,History
3692836,6.3,Drama
25804707,5.8,Action
9381260,6,Comedy
11466088,5.2,Action
21890845,6.5,Action
31987563,5.3,Action
322975,7.2,Drama
178127760,5.8,Action
23202734,6.9,Comedy
589304,6.7,Drama
4529843,4.4,Action
5770254,7.5,Music
656747,6.4,Comedy
29481428,5.8,Drama
50068310,6.4,Crime
36400360,6,Comedy
3675201,7.5,Drama
13130349,6.7,Drama
41954997,7.4,Crime
20060051,5.6,Comedy
532654,5,Drama
4109095,5.7,Drama
41230799,6.7,Comedy
118063304,5.9,Thriller
302710615,6.4,Comedy
60000000,7.1,Drama
140807547,5.9,Crime
3566637,7.1,Animation
7240837,4.2,Action
17979739,4.6,Action
791830,6.4,Drama
5926128,6.4,Drama
136885767,4.8,Adventure
28084357,6.9,Action
57252,4.9,Crime
29235353,6,Comedy
67683989,6.5,Science Fiction
50159144,6.6,Drama
263920180,7.3,Adventure
27354,6.3,Science Fiction
7553105,5,Comedy
2900000,5.7,Drama
479099,3.2,Adventure
34673095,6.1,Comedy
229074524,6.2,Adventure
224012234,6.5,Action
164508066,4.1,Action
10300,6,Crime
44000,5.5,Comedy
238207122,4.2,Action
252712101,7.3,Animation
299288605,6.4,Comedy
528428,7.5,Drama
245676146,6.8,Action
589390539,6.9,Action
8345056,5.5,Adventure
171120329,7.2,Drama
48169156,6,Action
79114085,6.6,Adventure
44862187,6.6,Action
26673242,6.4,Horror
87840042,5,Action
23144499,5.3,Comedy
44332015,5.1,Comedy
136982834,6.5,Action
1686429,4.2,Science Fiction
25480490,5.7,Fantasy
315156409,6.2,Action
5716080,6.5,Drama
199200000,7.2,Action
43312294,6.8,Action
126216940,7.7,Crime
131457682,7,Adventure
60527873,6.2,Drama
15719109,5.6,Horror
109423648,7.5,Drama
16000000,5,Action
6682098,6.5,Thriller
10082,3.8,Drama
8038061,6.9,Drama
12021272,6.7,Comedy
13960203,5.4,Comedy
257850122,6.9,Comedy
125586134,5.6,Horror
152944660,7.2,Drama
4000000,5.6,Drama
626057,6.3,Comedy
832735,8.3,Documentary
12532777,7.5,Thriller
14000000,6.2,Fantasy
5624282,5.2,Horror
6482195,5.8,Action
5790448,6.5,Action
85300000,6.5,Action
251212670,6.3,Comedy
10541523,5.9,Action
2642983,5.7,Drama
45916769,6.7,Drama
43101594,7.5,Drama
68706993,7,Crime
121214377,6.7,Adventure
32861136,7.1,Drama
58000000,6.6,Comedy
51376861,3.8,Action
264118201,7.8,Comedy
3309421,5.4,Drama
159330280,6.1,Action
139804348,7.4,Animation
13801755,6.5,Comedy
162000000,5.9,Science Fiction
74000000,6.8,Drama
10686841,7.3,Comedy
177977226,5.3,Comedy
31611225,5.6,Comedy
225933435,7.9,Drama
79082515,5.1,Comedy
25105255,6.3,Crime
122417389,6.2,Comedy
172363301,6.1,Horror
3263585,6.8,Drama
1845034188,7.5,Drama
333011068,6,Adventure
17626234,6.1,Drama
186883563,6.7,Drama
39673162,7.3,Comedy
5684789,6.8,Drama
46189568,7.8,Comedy
2465960,7.2,Drama
55494066,6.4,Comedy
13035599,5.8,Comedy
64256513,6.7,Comedy
27200316,7.2,Mystery
19870567,5.5,Thriller
17460020,6.4,Comedy
25232289,6.6,Thriller
302204,7,Crime
310724,7.3,Action
100000000,4.7,Adventure
11203026,6,Adventure
19204929,6,Action
91549,5.7,Mystery
14051384,5.2,Music
123306987,6.5,Romance
13100000,5.8,Science Fiction
314178011,7.2,Comedy
2554476,6.5,Thriller
102367405,6.2,Thriller
76447420,6.3,Adventure
76000000,5.9,Crime
67200000,6.3,Thriller
168462,7.7,Drama
1081957,5.9,Drama
2057193,5.4,Drama
46905889,5.6,Comedy
4562146,4.1,Animation
271375,5.5,Drama
720074,6.2,Documentary
136159423,5,Adventure
13835130,7.1,Crime
198685114,6.5,Drama
7985929,5.1,Comedy
21567853,6.7,Drama
1535558,7.2,Drama
1980338,6,Comedy
45779,3,Comedy
18814720,6.2,Crime
19165560,4.5,Science Fiction
3572443,4.3,Comedy
425788,6.2,Music
27007143,6.1,Action
565592,10,Comedy
14096321,7.1,Crime
140464664,5.9,Action
8026971,5.5,Comedy
38172500,6.9,Fantasy
379014294,5.3,Science Fiction
29202884,6.3,Comedy
10680275,7.2,Adventure
5879254,5.9,Comedy
128038368,6.3,Crime
164000000,5.6,Action
25605015,6.1,Comedy
1929168,6.3,Drama
900000,7.8,Drama
1334786,6.9,Comedy
304320254,7.6,Animation
189198313,6.6,Mystery
294456605,5.4,Comedy
77745568,6.5,Romance
2375097,7.2,Romance
553799566,6.5,Action
285444603,6.3,Action
54682547,6.2,Comedy
3221152,7.1,Mystery
369884651,6.5,Romance
4358000,5,Drama
2594000,6.5,Drama
7630000,4.6,Drama
4460000,7.1,Adventure
7433101,7.2,Comedy
6000000,6.9,Drama
13500000,6.7,Drama
16300000,6.9,Drama
11000000,7.4,Drama
23650000,7.6,Drama
7800000,6.8,Drama
36000000,6.6,Action
30500000,7.2,War
9600000,8,Crime
3000000,7.2,Drama
43656822,7,Crime
37600000,6.1,Adventure
28350000,7.5,Drama
27379978,7.5,Crime
37402877,7,Drama
44785053,7.4,Drama
41158757,7.4,Action
117235147,7.5,Drama
106260000,7.4,Drama
58972904,6.9,Drama
128499205,7,Drama
43984230,7.4,Drama
412800000,7.6,Drama
145793296,7,Comedy
2300000,6.7,Comedy
12729917,7.1,Adventure
51525171,7.8,Comedy
29999213,5.7,Horror
44793222,6.5,Horror
72500000,5.8,Horror
22168359,5.5,Horror
34872033,5.1,Horror
59754601,6.4,Horror
21722776,6,Horror
36690067,5.7,Horror
32980880,5.9,Horror
21930418,5.1,Horror
19472057,5.7,Horror
19170001,5.3,Horror
14000000,4.8,Horror
70000000,7.4,Horror
25533818,6.4,Horror
14400000,5,Horror
17768757,5.9,Horror
11642254,5.3,Horror
14796236,6,Horror
2683519,6,Horror
44196684,6.3,Horror
35763605,5.8,Drama
20560255,5.5,Thriller
122200000,7.1,Horror
40996665,5.8,Horror
14144000,4.6,Horror
441306145,7.5,Drama
30749142,4.5,Horror
39024251,6.1,Thriller
120207127,7,Adventure
227853986,6.7,Action
321731527,6.4,Adventure
153083102,6.9,Fantasy
41482207,6.3,Comedy
61503218,7.4,Adventure
250288523,6.3,Action
3600000,6.8,Mystery
650422,8,Drama
332000000,7.4,Adventure
244527583,7.1,Adventure
84563118,7.3,Action
267447150,6.8,Animation
271841,8.2,Action
34670720,7.1,Drama
30925690,6.5,Action
8373585,7,Drama
136766062,7.1,Crime
1277401,6.4,Mystery
1060056,7,Drama
17507368,5.5,Mystery
19000000,5.4,Comedy
481840909,7.9,Drama
2020700,5.2,Comedy
21288692,6.5,Animation
35841901,6.1,Adventure
8153677,5.9,Drama
45610410,5.8,Action
12890752,6.3,Drama
18564613,6.9,Family
38625550,6.9,Comedy
39514713,6.5,Comedy
58662452,4.8,Adventure
222724172,6.1,Adventure
44547681,6.8,Action
7027290,5.9,Comedy
6706368,7.4,Documentary
10631333,7.3,Fantasy
111858363,7.4,Drama
4971340,7.3,Fantasy
7218340,7.3,Drama
36602000,6.6,Comedy
8551228,7.7,Crime
2135577,6.4,Adventure
205843612,7.1,Family
93600000,6.9,Family
222300000,7.2,Animation
50752337,6.4,Comedy
27281507,7.2,Comedy
215880014,6.8,Adventure
87404651,7,Animation
47431461,6.6,Adventure
71215869,6.7,Fantasy
16393000,5.6,Adventure
11137801,6.6,Adventure
62000000,6.3,Action
51000000,6.8,Fantasy
5656087,6.6,Fantasy
69821334,6.1,Comedy
3337685,6.1,Drama
33000000,6.6,Science Fiction
5632086,6.7,Music
55041738,5.7,Horror
73961419,7,Comedy
18196170,6.5,Comedy
11582891,4.5,Drama
33697647,6.9,Crime
333000000,7.1,Adventure
30471420,6.1,Fantasy
20766616,6.9,Horror
7433663,5.5,Action
21200000,5.7,Horror
14000000,5.6,Drama
27100027,6.3,Drama
191502426,6.7,Horror
65705772,6.8,Drama
103891409,5.8,Crime
40542,3,Drama
12729678,6.7,Crime
33736689,7.8,Drama
34368475,6.6,Thriller
38934048,6.4,Comedy
9000000,6,Adventure
3713768,7.3,Adventure
14665733,7.5,Fantasy
40577001,7.3,Fantasy
84542002,6.6,Drama
40766041,6.2,Adventure
15502112,6.2,Adventure
23686027,6.9,Comedy
40471663,6.6,Comedy
37803872,6,Drama
7800000,5,Fantasy
60000000,7.1,Action
10224116,4.6,Comedy
48585416,4.4,Thriller
37672350,6,Comedy
33395426,7.5,Horror
20158808,7,Drama
16283667,5.5,Drama
4710749,5.9,Drama
131183530,6.5,Horror
73326666,7.1,Fantasy
2200000,7.8,Crime
7900000,6.7,Comedy
12600000,7.2,Crime
6000000,6.1,Action
13000000,6.4,Mystery
7000000,7.2,Crime
2000000,6.9,Crime
10250000,7.3,Adventure
7000000,6.9,Comedy
7000000,7.6,Crime
16757163,5.5,Music
12413650,6.4,Drama
57269863,6.9,Adventure
76270454,7.6,Crime
4500000,7.1,Mystery
22921898,6.9,Drama
501818,6.9,Thriller
33556,6.5,Drama
18253415,6.5,Comedy
777423,6.4,Drama
22482952,6.2,Drama
51249404,6.8,Comedy
103173635,6.5,Comedy
21486757,5.8,Comedy
20036737,7.2,Comedy
23278931,5,Fantasy
30688860,5.2,Comedy
7000000,5.1,Horror
18600000,5.9,Comedy
38702310,5.6,Comedy
18875011,5.9,Horror
8479793,5,Comedy
243240178,7.1,Drama
266614059,5.8,Drama
244386864,6.8,Action
124494,5.8,Action
1782005,7,Drama
41610884,6.8,Action
72527595,5.6,Horror
2075084,6.4,Adventure
500000,7.2,Drama
19629760,7.8,Horror
21706101,6.9,Comedy
10389003,6.9,Comedy
53000000,7.5,Fantasy
171757863,6,Adventure
2197921,6,Comedy
30331165,5.9,Comedy
71485043,6.8,Drama
631221,4.7,Horror
31672907,6.5,Comedy
64088552,7.3,Comedy
40400657,6.6,Thriller
31853080,6.9,Drama
26010864,7.9,Drama
50671850,5.5,Horror
46683377,6.3,Drama
2807390,7.4,Comedy
14567883,6.1,Action
229400000,8.3,Comedy
16324573,5.8,Thriller
23875127,8.2,Drama
12902790,5.4,Comedy
6451628,6.8,Drama
116672912,6.1,Drama
185991646,5.9,Comedy
82150642,7.2,Drama
1053788,6.9,Drama
40002112,5.1,Horror
142940100,6.9,Fantasy
7936012,7,Action
2826523,7,Drama
5794184,6.7,Drama
4100000,5.1,Fantasy
752045,7.9,Drama
250649836,6.7,Action
100491683,5.8,Animation
363258859,6.8,Adventure
5596708,7.6,Drama
6000000,6.2,Horror
4100000,6.7,Action
10000000,7.7,Action
90614445,5.9,Adventure
4711220,4.6,Action
27400000,6,Comedy
24467000,7,Action
59612888,6.8,Comedy
35150960,5.8,Comedy
6948633,5,Adventure
36611610,6.2,Comedy
54999651,6.2,Comedy
152427960,6,Adventure
146198896,6.5,Comedy
55600000,5.6,Comedy
43579163,5.5,Comedy
28061343,4.9,Comedy
19510371,4.7,Comedy
11567217,4.7,Comedy
69131860,5.3,Adventure
10443316,4.8,Drama
9247881,3.8,Comedy
9898412,6.2,Comedy
37141130,4.8,Horror
118000000,6.3,Science Fiction
218613188,6.9,Adventure
17096053,7.5,Comedy
289317794,6.8,Romance
23717291,6.1,Family
41410568,7,Romance
300400432,6.3,Action
125212904,7.2,Action
189015611,5.7,Action
96773200,6,Action
86572238,6.6,Action
85313124,6.5,Comedy
25024919,5.4,Comedy
200182160,6.9,Drama
270000000,6.6,Drama
300473716,6.6,Drama
119946358,5.3,Drama
14643997,7.1,Comedy
91258000,6.4,Comedy
13418091,6,Drama
90815558,6.9,Drama
115103979,5.9,Adventure
38956288,5.5,Family
71320000,7.1,Comedy
250821495,6.3,Comedy
1214198,6.5,Drama
98126565,7.2,Drama
40283321,6.2,Horror
202292902,7,Comedy
56702901,6.1,Drama
21001563,5.8,Comedy
6330054,5.8,Drama
3970078,6.6,Drama
14010690,5,Horror
37962774,5.1,Comedy
7177431,6,Drama
3000000,6.9,Drama
60629159,7.1,Horror
38903179,5.2,Horror
15945534,5.3,Action
30859000,7.1,Horror
8025872,5.8,Horror
5765562,5.1,Horror
185898,3.9,Horror
71624879,6.7,Comedy
6797218,5.6,Horror
8988731,5.9,Horror
77200000,7.2,Drama
41382841,5.9,Comedy
328203506,6.3,Adventure
239606210,5.5,Adventure
52293982,6.7,Drama
5186646,5.8,Crime
42724017,6.5,Action
11949484,5,Action
4367497,6.9,Action
103166989,5.7,Comedy
13674,6,Action
83957,7.6,Horror
161626121,6.7,Drama
4398989,5.5,Comedy
40263020,6.3,Comedy
118880016,5.9,Romance
36850101,5.1,Comedy
3076820,5.9,Comedy
12827813,7.4,Comedy
6852450,6.1,Comedy
96618699,6.1,Thriller
57469467,6.4,Drama
17092453,5,Horror
6980986,4.5,Horror
21200000,6.5,Horror
21095683,5.9,Comedy
100489151,6.2,Action
47000000,5.5,Action
30000000,5.8,Action
116000000,7.1,Action
25000000,6.6,Adventure
33395426,7.5,Science Fiction
18999718,6.2,Adventure
8844595,5.5,Action
